Sentence,Label
මම වැඩ කරනවා,0
මම හොදින් වැඩ කරන්නේය,0
මම පාඩම් කරනවා,0
මම ගෙවතු වැඩ කරන්නේය,0
මම සේවය කරයි,0
මම රැකියාව කරති,0
මම ඊයේ වැඩ කළේය,0
මම ගෙදර වැඩ කළා,0
මම කාර්යාල වැඩ කළහ,0
මම සාමූහික වැඩ කළෙමු,0
මම වැඩ කරමු,0
මම අධ්‍යාපන කටයුතු කරනවා,0
මම පරිගණක වැඩ කරන්නේය,0
මම ව්‍යාපාර කරයි,0
මම සමාජ සේවය කරති,0
මම පර්යේෂණ කළේය,0
මම ලිපි කටයුතු කළා,0
මම සාකච්ඡා කළහ,0
මම කණ්ඩායම් වැඩ කළෙමු,0
මම නව යෝජනා කරමු,0
මම මුදල් පරිහරණය කරනවා,0
මම ගිණුම් වැඩ කරන්නේය,0
මම විශ්ලේෂණ කරයි,0
මම සැලසුම් කරති,0
මම නිර්මාණ කළේය,0
මම චිත්‍ර ඇඳීම් කළා,0
මම සංගීත වාදනය කළහ,0
මම කණ්ඩායම් ක්‍රීඩා කළෙමු,0
මම නව නිපැයුම් කරමු,0
මම පරිසර සංරක්ෂණය කරනවා,0
මම සත්ව සුරැකුම් කරන්නේය,0
මම ශිෂ්‍ය උපදේශන කරයි,0
මම ගුරු සේවය කරති,0
මම සමාජ සේවා කළේය,0
මම රෝගී සත්කාර කළා,0
මම වෛද්‍ය සේවා කළහ,0
මම සෞඛ්‍ය සේවා කළෙමු,0
මම සමාජ සුභසාධන කරමු,0
මම පරිගණක මෘදුකාංග සැකසුම් කරනවා,0
මම වෙබ් අඩවි නිර්මාණ කරන්නේය,0
මම තොරතුරු තාක්ෂණ සේවා කරයි,0
මම දත්ත විශ්ලේෂණ කරති,0
මම පරිගණක යන්ත්‍ර අලුත්වැඩියා කළේය,0
මම ජාල පද්ධති නඩත්තු කළා,0
මම පරිගණක ආරක්ෂණ කළහ,0
මම තාක්ෂණික සහය කළෙමු,0
මම නව තාක්ෂණ යෙදවුම් කරමු,0
මම ඉංජිනේරු සේවා කරනවා,0
මම යන්ත්‍ර නඩත්තු කරන්නේය,0
මම විදුලි පද්ධති සැකසුම් කරයි,0
මම ගොඩනැගිලි සැලසුම් කරති,0
මම මාර්ග ඉදිකිරීම් කළේය,0
මම පාලම් ඉදිකිරීම් කළා,0
මම ජල සම්පාදන කළහ,0
මම සනීපාරක්ෂක සේවා කළෙමු,0
මම නව ඉදිකිරීම් කරමු,0
මම කෘෂිකාර්මික කටයුතු කරනවා,0
මම ගොවිතැන් කරන්නේය,0
මම බෝග වගා කරයි,0
මම එළවළු වගා කරති,0
මම පලතුරු වගා කළේය,0
මම බිම් සැකසුම් කළා,0
මම පොහොර යෙදීම් කළහ,0
මම කෘමි පාලන කළෙමු,0
මම අස්වනු නෙලීම් කරමු,0
මම අධ්‍යාපන පර්යේෂණ කරනවා,0
මම විද්‍යාත්මක පරීක්ෂණ කරන්නේය,0
මම සමාජ විද්‍යා පර්යේෂණ කරයි,0
මම මනෝ විද්‍යා අධ්‍යයන කරති,0
මම භාෂා පර්යේෂණ කළේය,0
මම සාහිත්‍ය විචාර කළා,0
මම කලා විවේචන කළහ,0
මම සංස්කෘතික අධ්‍යයන කළෙමු,0
මම නව සොයාගැනීම් කරමු,0
මම මාධ්‍ය වැඩ කරනවා,0
මම පුවත්පත් වාර්තාකරණ කරන්නේය,0
මම රූපවාහිනී වැඩසටහන් කරයි,0
මම ගුවන්විදුලි වැඩසටහන් කරති,0
මම මාධ්‍ය විශ්ලේෂණ කළේය,0
මම ප්‍රවෘත්ති වාර්තාකරණ කළා,0
මම සජීව විකාශන කළහ,0
මම වාර්තා චිත්‍රපට නිෂ්පාදන කළෙමු,0
මම නව මාධ්‍ය නිර්මාණ කරමු,0
මම වෙළඳ ප්‍රචාරණ කරනවා,0
මම අලෙවිකරණ කරන්නේය,0
මම වෙළඳ ප්‍රවර්ධන කරයි,0
මම මහජන සම්බන්ධතා කරති,0
මම වෙළඳ ප්‍රදර්ශන කළේය,0
මම නිෂ්පාදන හඳුන්වාදීම් කළා,0
මම වෙළඳපල සමීක්ෂණ කළහ,0
මම පාරිභෝගික සමීක්ෂණ කළෙමු,0
මම නව වෙළඳ උපාය කරමු,0
මම ක්‍රීඩා පුහුණු කරනවා,0
මම ව්‍යායාම කරන්නේය,0
මම යෝග පුහුණු කරයි,0
මම දිවීම් පුහුණු කරති,0
මම පිහිනුම් පුහුණු කළේය,0
මම බර ඉසිලීම් කළා,0
මම මලල ක්‍රීඩා කළහ,0
මම ක්‍රිකට් පුහුණු කළෙමු,0
මම නව ක්‍රීඩා ක්‍රම කරමු,0
මම සංගීත රචනා කරනවා,0
මම ගීත රචනා කරන්නේය,0
මම සංගීත නිෂ්පාදන කරයි,0
මම වාද්‍ය භාණ්ඩ වාදන කරති,0
මම සංගීත ප්‍රසංග කළේය,0
මම ගායන ඉදිරිපත් කළා,0
මම නර්තන ඉදිරිපත් කළහ,0
මම සාම්ප්‍රදායික නැටුම් කළෙමු,0
මම නව සංගීත නිර්මාණ කරමු,0
මම පරිසර සංරක්ෂණ කරනවා,0
